Element;Z;Total;1s1/2;2s1/2;2p1/2;2p3/2;3s1/2;3p1/2;3p3/2;3d3/2;3d5/2;4s1/2;4p1/2;4p3/2;4d3/2;4d5/2;4f5/2;4f7/2;5s1/2;5p1/2;5p3/2;5d3/2;5d5/2;5f5/2;5f7/2;6s1/2;6p1/2;6p3/2;6d3/2;6d5/2;7s1/2
In;49;40.5521;;;;;2.48;3.51;7.27;9.13;13.23;0.611;0.689;1.37;0.893;1.29;;;0.0626;0.0058;0.0107;;;;;;;;;;
Sn;50;44.0212;;;;;2.54;3.62;7.58;10.09;14.63;0.653;0.743;1.48;1.05;1.51;;;0.0765;0.0169;0.0318;;;;;;;;;;
Sb;51;48.257;;;;;2.6;3.71;7.86;11.13;16.13;0.696;0.799;1.6;1.22;1.76;;;0.0899;0.0331;0.629;;;;;;;;;;
Te;52;51.9966;;;;;2.67;3.79;8.14;12.21;17.7;0.741;0.856;1.73;1.4;2.01;;;0.1036;0.542;0.104;;;;;;;;;;
I;53;55.6315;;;;;2.75;3.87;8.37;13.33;19.33;0.785;0.913;1.86;1.58;2.29;;;0.1175;0.2805;0.1555;;;;;;;;;;
Xe;54;59.6542;;;;;2.83;3.95;8.64;14.55;21.08;0.831;0.971;1.99;1.78;2.57;;;0.1319;0.1123;0.218;;;;;;;;;;
Cs;55;64.0219;;;;;2.84;4.04;8.94;15.8;22.93;0.877;1.03;2.12;1.99;2.88;;;0.1523;0.1397;0.278;;;;;0.0049;;;;;
Ba;56;65.5249;;;;;;4.1;9.26;17.04;24.75;0.924;1.09;2.26;2.21;3.2;;;0.1737;0.1661;0.334;;;;;0.0171;;;;;
La;57;69.621;;;;;;4.06;9.52;18.25;26.49;0.971;1.15;2.4;2.44;3.53;;;0.1933;0.1887;0.362;0.0187;0.0267;;;0.0206;;;;;
Ce;58;69.8093;;;;;;;9.67;19.67;28.57;1;1.18;2.49;2.58;3.74;0.0689;0.088;0.1891;0.1805;0.365;;;;;0.0178;;;;;
Pr;59;74.3149;;;;;;;9.75;21.13;30.72;1.04;1.23;2.6;2.77;4.01;0.1256;0.161;0.1958;0.1864;0.378;;;;;0.0181;;;;;
Nd;60;69.169;;;;;;;;22.66;32.96;1.07;1.27;2.71;2.96;4.28;0.2;0.257;0.202;0.1917;0.39;;;;;0.0183;;;;;
Pm;61;74.0598;;;;;;;;24.32;35.33;1.11;1.3;2.81;3.14;4.55;0.296;0.379;0.208;0.1964;0.402;;;;;0.0184;;;;;
Sm;62;79.3516;;;;;;;;26.12;37.9;1.14;1.34;2.91;3.33;4.82;0.416;0.531;0.213;0.201;0.412;;;;;0.0186;;;;;
Eu;63;85.3647;;;;;;;;28.2;40.87;1.17;1.37;3.01;3.51;5.09;0.562;0.718;0.219;0.205;0.422;;;;;0.0187;;;;;
Gd;64;85.2377;;;;;;;;24.35;43.43;1.2;1.41;3.13;3.73;5.41;0.693;0.887;0.235;0.223;0.465;0.0219;0.0306;;;0.0222;;;;;
Tb;65;39.2069;;;;;;;;;20.8;1.22;1.43;3.21;3.88;5.61;0.949;1.21;0.228;0.211;0.44;;;;;0.0189;;;;;
