Element;Z;Total;1s1/2;2s1/2;2p1/2;2p3/2;3s1/2;3p1/2;3p3/2;3d3/2;3d5/2;4s1/2;4p1/2;4p3/2;4d3/2;4d5/2;4f5/2;4f7/2;5s1/2;5p1/2;5p3/2;5d3/2;5d5/2;5f5/2;5f7/2;6s1/2;6p1/2;6p3/2;6d3/2;6d5/2;7s1/2
W;74;37.2337;;;;;;;;;;1.81;2.1;5.16;6.68;9.65;4.32;5.48;0.383;0.367;0.811;0.1824;0.252;;;0.0383;;;;;
Re;75;39.6728;;;;;;;;;;1.84;2.12;5.3;6.95;10.06;4.88;6.2;0.402;0.387;0.869;0.261;0.363;;;0.0408;;;;;
Os;76;42.2381;;;;;;;;;;1.86;2.13;5.45;7.23;10.48;5.48;6.96;0.422;0.408;0.928;0.354;0.493;;;0.0431;;;;;
Ir;77;44.985;;;;;;;;;;1.88;2.14;5.59;7.51;10.9;6.12;7.78;0.438;0.422;0.967;0.524;0.714;;;;;;;;
Pt;78;47.7807;;;;;;;;;;1.9;2.14;5.74;7.78;11.32;6.81;8.65;0.459;0.444;1.04;0.62;0.857;;;0.0207;;;;;
Au;79;50.7414;;;;;;;;;;1.92;2.14;5.89;8.06;11.74;7.54;9.58;0.479;0.463;1.1;0.758;1.05;;;0.0214;;;;;
Hg;80;53.7938;;;;;;;;;;1.94;2.14;6.04;8.33;12.17;8.32;10.57;0.5;0.484;1.17;0.869;1.21;;;0.0508;;;;;
Tl;81;56.9639;;;;;;;;;;1.95;2.13;6.19;8.6;12.6;9.14;11.62;0.52;0.505;1.25;0.99;1.39;;;0.0637;0.0054;0.0098;;;
Pb;82;60.2461;;;;;;;;;;1.96;2.12;6.33;8.87;13.02;10.01;12.73;0.542;0.526;1.33;1.11;1.58;;;0.0742;0.0148;0.0291;;;
Bi;83;63.6371;;;;;;;;;;1.96;2.1;6.48;9.14;13.44;10.93;13.9;0.563;0.546;1.41;1.24;1.76;;;0.084;0.0273;0.0568;;;
Po;84;67.1593;;;;;;;;;;1.97;2.07;6.62;9.4;13.87;11.9;15.14;0.584;0.566;1.5;1.36;1.95;;;0.0937;0.0428;0.0928;;;
At;85;70.7705;;;;;;;;;;1.96;2.04;6.77;9.65;14.29;12.92;16.44;0.605;0.584;1.58;1.49;2.14;;;0.1033;0.0612;0.137;;;
Rn;86;74.5118;;;;;;;;;;1.95;2;6.92;9.9;14.7;14;17.81;0.625;0.602;1.67;1.62;2.33;;;0.1129;0.0824;0.1895;;;
Fr;87;78.3999;;;;;;;;;;1.95;1.97;7.07;10.16;15.11;15.12;19.24;0.645;0.618;1.77;1.75;2.53;;;0.1257;0.0966;0.24;;;0.0046
Ra;88;83.3272;;;;;;;;;;1.95;1.91;7.2;10.4;15.53;16.3;21.74;0.665;0.633;1.86;1.86;2.73;;;0.1383;0.1099;0.286;;;0.015
Ac;89;86.405;;;;;;;;;;1.95;1.86;7.33;10.61;15.93;17.53;22.3;0.684;0.647;1.95;2.02;2.94;;;0.1506;0.1216;0.326;0.0156;0.0215;0.0187
Th;90;90.5795;;;;;;;;;;1.95;1.8;7.46;10.82;16.31;18.81;23.94;0.702;0.66;2.05;2.15;3.15;;;0.1625;0.1325;0.366;0.0397;0.0552;0.0216
Pa;91;94.9286;;;;;;;;;;1.92;1.74;7.61;11.04;16.67;20.12;25.6;0.718;0.667;2.13;2.25;3.29;0.204;0.255;0.163;0.13;0.361;0.0174;0.0237;0.0195
U;92;99.4191;;;;;;;;;;1.9;1.68;7.71;11.25;17.05;21.5;27.36;0.732;0.674;2.22;2.36;3.46;0.349;0.435;0.1682;0.133;0.376;0.0179;0.0243;0.0197
Np;93;104.1593;;;;;;;;;;2;1.61;7.83;11.44;17.44;22.91;29.18;0.746;0.678;2.31;2.46;3.62;0.522;0.652;0.1729;0.1354;0.39;0.0183;0.0248;0.0199
Pu;94;106.9503;;;;;;;;;;;1.54;7.95;11.6;17.81;24.36;31.03;0.758;0.68;2.38;2.56;3.76;0.812;1.01;0.172;0.1313;0.38;;;0.017
Am;95;111.8153;;;;;;;;;;;1.47;8.08;11.74;18.14;25.87;32.95;0.769;0.68;2.47;2.66;3.92;1.05;1.3;0.1758;0.1325;0.391;;;0.017
Cm;96;115.4035;;;;;;;;;;;;8.21;11.88;18.43;27.45;34.97;0.78;0.68;2.56;2.78;4.11;1.22;1.52;0.1842;0.139;0.426;0.019;0.0251;0.0202
